                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     75,                 1.2449,                0.72444,                0.88059,                0.91157,                0.93237,                0.96829,                0.57555,                  1.398,                0.61416,                0.92299,              0.0005348,              0.0005348,              0.0005348
                     76,                 1.2224,                0.71718,                0.88957,                0.92356,                0.93396,                0.96847,                 0.5856,                 1.3679,                0.58325,                 0.9256,               0.000515,               0.000515,               0.000515
                     77,                 1.2394,                0.70298,                0.87686,                0.92474,                 0.9372,                0.96694,                0.57771,                 1.3416,                0.59903,                0.91991,              0.0004952,              0.0004952,              0.0004952
                     78,                 1.2575,                0.73598,                0.88592,                0.88704,                0.96618,                0.97711,                0.58164,                  1.343,                0.57539,                0.91764,              0.0004754,              0.0004754,              0.0004754
                     79,                 1.2367,                0.72513,                0.88939,                0.89928,                0.95169,                0.97364,                0.57246,                 1.3934,                0.57792,                0.92247,              0.0004556,              0.0004556,              0.0004556
                     80,                 1.2371,                 0.7248,                0.89207,                0.94753,                0.91304,                0.97758,                0.58121,                 1.3548,                 0.5784,                0.91815,              0.0004358,              0.0004358,              0.0004358
                     81,                 1.2375,                0.70767,                0.87811,                 0.9117,                 0.9372,                0.97685,                0.57783,                 1.3725,                0.58084,                0.91961,               0.000416,               0.000416,               0.000416
                     82,                 1.2238,                0.72011,                0.90201,                0.93547,                0.91044,                0.96735,                0.57349,                 1.3653,                0.59235,                0.92197,              0.0003962,              0.0003962,              0.0003962
                     83,                 1.2105,                 0.7016,                0.87971,                0.91875,                 0.9372,                0.96959,                0.57853,                 1.3619,                0.59959,                0.92544,              0.0003764,              0.0003764,              0.0003764
                     84,                 1.2383,                0.71006,                0.88662,                0.94562,                0.92407,                0.97406,                0.58338,                 1.3817,                 0.5962,                0.92256,              0.0003566,              0.0003566,              0.0003566
                     85,                 1.3165,                0.90033,                0.93028,                0.90728,                0.94546,                0.97262,                0.58255,                 1.3556,                0.58052,                0.91921,              0.0003368,              0.0003368,              0.0003368
                     86,                 1.1691,                0.69769,                0.88796,                0.93349,                0.94921,                0.97591,                0.58457,                 1.3594,                0.58566,                0.91747,               0.000317,               0.000317,               0.000317
                     87,                 1.1754,                0.68684,                0.88064,                0.91075,                0.94686,                0.96816,                0.58633,                 1.3416,                0.58778,                0.91717,              0.0002972,              0.0002972,              0.0002972
                     88,                 1.1775,                0.67944,                0.87489,                0.93393,                 0.9372,                0.97073,                0.58797,                 1.3377,                0.57983,                0.91756,              0.0002774,              0.0002774,              0.0002774
                     89,                 1.1627,                0.69395,                0.88301,                0.92824,                0.93739,                0.97104,                0.58766,                  1.358,                0.58293,                0.92278,              0.0002576,              0.0002576,              0.0002576
                     90,                 1.1755,                0.68459,                0.87326,                0.92491,                0.94203,                 0.9688,                0.58131,                 1.3358,                0.58118,                 0.9179,              0.0002378,              0.0002378,              0.0002378
                     91,                 1.1523,                0.68372,                 0.8755,                 0.9157,                0.94457,                0.96783,                0.58856,                 1.3162,                0.57929,                0.91567,               0.000218,               0.000218,               0.000218
                     92,                 1.1861,                0.67738,                0.87149,                0.92437,                0.94476,                0.97365,                0.58399,                 1.3247,                0.57468,                0.91604,              0.0001982,              0.0001982,              0.0001982
                     93,                 1.1129,                0.65994,                0.86166,                0.93355,                 0.9372,                0.97421,                0.59192,                 1.3111,                0.56825,                0.91657,              0.0001784,              0.0001784,              0.0001784
                     94,                 1.1569,                0.68936,                0.87734,                 0.9375,                0.94199,                0.97604,                0.59474,                 1.3258,                0.55768,                 0.9183,              0.0001586,              0.0001586,              0.0001586
                     95,                  1.128,                0.66213,                0.88097,                0.93143,                0.94203,                0.97542,                 0.5954,                  1.335,                0.56844,                0.91994,              0.0001388,              0.0001388,              0.0001388
                     96,                 1.0982,                0.63706,                0.86998,                0.92508,                 0.9372,                0.97472,                0.59627,                 1.3187,                0.56211,                0.91591,               0.000119,               0.000119,               0.000119
                     97,                 1.1444,                0.66862,                0.87232,                0.91622,                0.95096,                0.97129,                0.59553,                 1.3076,                0.56165,                0.91423,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                  1.116,                0.65752,                0.88222,                0.92449,                0.94637,                0.97165,                0.60012,                 1.3011,                0.56192,                0.91533,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                 1.1376,                0.67552,                0.87124,                0.92298,                0.95169,                0.97224,                 0.6049,                 1.2959,                0.56299,                0.91266,               5.96e-05,               5.96e-05,               5.96e-05
